156;Сана;{"name":"Сана", "country":"Йемен", "genCountry":"Йемена", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"5"}
157;Санто-Доминго,Санто Доминго;{"name":"Санто-Доминго", "country":"Доминиканская Республика", "genCountry":"Доминиканской Республики", "continent":"Северная Америка", "duplicateName" : "false", "facts":[], "complexity":"4"}
158;Сантьяго;{"name":"Сантьяго", "country":"Чили", "genCountry":"Чили", "continent":"Южная Америка", "duplicateName" : "false", "facts":[], "complexity":"4"}
159;Сараево;{"name":"Сараево", "country":"Босния и Герцеговина", "genCountry":"Боснии и Герцеговины", "continent":"Европа", "duplicateName" : "false", "facts":[], "complexity":"3"}
160;Сент-Джонс,Сент Джонс;{"name":"Сент-Джонс", "country":"Антигуа и Барбуда", "genCountry":"Антигуа и Барбуда", "continent":"Северная Америка", "duplicateName" : "false", "facts":[], "complexity":"5"}
161;Сент-Джорджес,Сент Джорджес;{"name":"Сент-Джорджес", "country":"Гренада", "genCountry":"Гренады", "continent":"Северная Америка", "duplicateName" : "false", "facts":[], "complexity":"5"}
162;Сеул;{"name":"Сеул", "country":"Республика Корея", "genCountry":"Республики Корея", "continent":"Азия", "duplicateName" : "false", "facts":["В Сеуле находится самый длинный мост-фонтан в мире.", "В Сеуле находится самый длинный метрополитен в мир."], "complexity":"2"}
163;Сингапур;{"name":"Сингапур", "country":"Сингапур", "genCountry":"Сингапура", "continent":"Азия", "duplicateName" : "true", "facts":["Символом Сингапура является рыба с головой льва."], "complexity":"4"}
164;Скопье;{"name":"Скопье", "country":"Македония", "genCountry":"Македонии", "continent":"Европа", "duplicateName" : "false", "facts":[], "complexity":"4"}
165;София;{"name":"София", "country":"Болгария", "genCountry":"Болгарии", "continent":"Европа", "duplicateName" : "false", "facts":[], "complexity":"2"}
